Material,Yield strength (MPa),Tensile strength (MPa),Elongation at break (%),Hardness,Modulus of elasticity (GPa),Tensile modulus (MPa),Flexural strength (MPa),Flexural modulus (GPa)
Aluminium 2007 / 3.1645 / Al-CuMgPb,210 – 250,370,6 – 8,130,72.5,,,
Aluminium 2017A / 3.1325 / Al-Cu4Mg,135 – 240,250 – 370,8 – 12,45 – 105,72.5,,,
"Aluminium 5083 / 3.3547 / AlMg4,5Mn",115 – 200,270 – 345,16,81.5,71,,,
Aluminium 6060 / 3.3206 / Al-MgSi,60 – 160,120 – 215,6 – 16,45 – 70,~70,,,
Aluminium 6061 / 3.3211 / Al-Mg1SiCu,110 – 240,180 – 260,7 – 15,65 – 85,70,,,
Aluminium 6082 / 3.2315 / Al-Si1Mg,110 – 260,205 – 310,6 – 15,65 – 95,70,,,
Aluminium 7075 / 3.4365 / Al-Zn6MgCu,145 – 475,275 – 540,2 – 10,55 – 163,72,,,
Stainless Steel 303 / 1.4305 / X10CrNiS18-9,351,398,31%,234,562,,,
Stainless Steel 304 / 1.4301 / X5CrNi18.10,260 – 270,520 – 680,≥ 45,215,200,,,
Stainless Steel 316L / 1.4404 / X2CrNiMo17-12-2,225,500 – 700,35 – 45,215,200,,,
Stainless Steel 316Ti / 1.4571 / X6CrNiMoTi17-12-2,235,500 – 700,30 – 40,215,200,,,
Stainless Steel 304L / 1.4307 / X2CrNi18-9,175 – 210,500 – 700,45,215,193,,,
Steel 1.0038 / S235JR,185 – 235,340 – 510,21 – 26,120,210,,,
Steel 1.0503 / C45,275,560,16,255,205,,,
Steel 1.0511 / C40,285,482,21,322,372,,,
Steel 1.0570 / S355J2G3,315 – 355,490 – 630,22,217,210,,,
Steel 1.2842 / 90MnCrV8,739,914,14,334,386,,,
Steel 1.7131 / 16MnCr5,440 – 735,640 – 1375,8 – 15,207,190 – 210,,,
Steel 1.7218 / 25CrMo4,345 – 700,600 – 1100,12 – 16,212 – 255,210,,,
Steel 1.7225 / 42CrMo4,500 – 900,750 – 1300,10 – 14,219,164 – 217,,,
Titan Grade 2 / 3.7035,275 – 410,345,20,150,105,,,
Titan Grade 5 / 3.7164 / 3.7165 / Ti-6Al-4V,830,895,10,310,114,,,
ABS,,46,48,68 – 118,,2270,69,23.5
Acrylic,,55.1 – 75.8,2,98,,2413 – 3447,82.7 – 117.2,5.51 – 7.58
PC (Polycarbonate),,65.5,60,95,,2206,103.4,2.58
PEEK,,99.9,35,230,,3792,165.4,4.13
PEEK glass-filled,,103.4,3,–,,6205.2,193,6.89
Polypropylene (PP),,30,150,70,,1600,40,1.5
POM / Delrin acetal,,75.8,30,150,,3102,89.6,3.1
PTFE / Teflon,,26.88,300,57,,551.5,14,0.49
PVDF / Polyvinylidene fluoride,,55,20,77,,2000,–,0.89
UHMW PE / Ultra-high-molecular-weight polyethene,,39.9,300,64,,551.5,25.13,0.606
