tool_id,name,type,material,diameter,shank_diameter,cutting_length,overall_length,flute_count,helix_angle,coating,workpiece_materials,center_cutting,price_usd,manufacturer,max_depth_of_cut,max_rpm,speed_feed_link,image_link,product_link
03-0073,"1/2"" Dia. Carbide End Mill, 5 Flute, TiAlN Coated, 1/2"" Weldon Shank x 1-1/4"" LOC, Square Profile, HSPM2",end_mill,carbide,12.7,12.7,31.75,76.2,5,38.0,Multi-Layer TiAlN,"['Steel', 'Stainless Steel', 'High Temp Alloys']",True,40.95,Haas,15.88,15000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/5-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0073/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0073.html
03-0083,"1/4"" Dia. Carbide End Mill, 3 Flute, Uncoated, 1/4"" Smooth Shank x 3/4"" LOC, Square Profile, HSAM1",end_mill,carbide,6.35,6.35,19.05,63.5,3,38.0,Uncoated,['Aluminum'],True,18.95,Haas,9.52,18000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0083/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0083.html
03-0086,"1/2"" Dia. Carbide End Mill, 3 Flute, Uncoated, 1/2"" Smooth Shank x 1"" LOC, Square Profile, HSAM1",end_mill,carbide,12.7,12.7,25.4,76.2,3,38.0,Uncoated,['Aluminum'],True,42.95,Haas,12.7,15000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0086/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0086.html
03-0068,"1/4"" Dia. Carbide End Mill, 5 Flute, TiAlN Coated, 1/4"" Smooth Shank x 3/4"" LOC, Square Profile, HSPM2",end_mill,carbide,6.35,6.35,19.05,63.5,5,38.0,Multi-Layer TiAlN,"['High Temp Alloys', 'Stainless Steel', 'Steel']",True,20.95,Haas,9.52,18000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/5-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0068/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0068.html
03-0081,"1/8"" Dia. Carbide End Mill, 3 Flute, Uncoated, 1/8"" Smooth Shank x 7/16"" LOC, Square Profile, HSAM1",end_mill,carbide,3.17,3.17,11.13,38.1,3,38.0,Uncoated,['Aluminum'],True,14.95,Haas,5.56,25000,"https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/linedrawings/milling/end_mills/speeds-and-feeds/03-0080%20to%2003-0089%20n%2003-0392%20to%2003-0396%20end%20mills,%20hsam1,%20speeds%20and%20feeds.pdf",/content/dam/haascnc/ecommerce/03-0081/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0081.html
03-0071,"3/8"" Dia. Carbide End Mill, 5 Flute, TiAlN Coated, 3/8"" Smooth Shank x 1"" LOC, Square Profile, HSPM2",end_mill,carbide,9.52,9.52,25.4,63.5,5,38.0,Multi-Layer TiAlN,"['Steel', 'Stainless Steel', 'High Temp Alloys']",True,31.95,Haas,12.7,18000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/5-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0071/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0071.html
03-0052,"1/16"" Dia. Carbide End Mill, 4 Flute, TiAlN Coated, 1/8"" Smooth Shank x 3/16"" LOC, 0.004"" Chamfer, HSPM1",end_mill,carbide,1.59,3.17,4.78,38.1,4,38.0,Multi-Layer TiAlN,"['Steel', 'High Temp Alloys', 'Stainless Steel']",True,12.95,Haas,2.39,25000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/4-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0052/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0052.html
03-0053,"1/8"" Dia. Carbide End Mill, 4 Flute, TiAlN Coated, 1/8"" Smooth Shank x 1/2"" LOC, 0.008"" Chamfer, HSPM1",end_mill,carbide,3.17,3.17,12.7,38.1,4,38.0,Multi-Layer TiAlN,"['Steel', 'Stainless Steel', 'High Temp Alloys']",True,12.95,Haas,6.35,25000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/4-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0053/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0053.html
03-0054,"3/16"" Dia. Carbide End Mill, 4 Flute, TiAlN Coated, 3/16"" Smooth Shank x 5/8"" LOC, 0.008"" Chamfer, HSPM1",end_mill,carbide,4.76,4.76,15.88,50.8,4,38.0,Multi-Layer TiAlN,"['Stainless Steel', 'Steel', 'High Temp Alloys']",True,15.95,Haas,7.94,25000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/4-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0054/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0054.html
03-0055,"1/4"" Dia. Carbide End Mill, 4 Flute, TiAlN Coated, 1/4"" Smooth Shank x 3/4"" LOC, 0.016"" Chamfer, HSPM1",end_mill,carbide,6.35,6.35,19.05,63.5,4,38.0,Multi-Layer TiAlN,"['Steel', 'Stainless Steel', 'High Temp Alloys']",True,17.95,Haas,9.52,18000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/4-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0055/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0055.html
03-0056,"1/4"" Dia. Carbide End Mill, 4 Flute, TiAlN Coated, 1/4"" Smooth Shank x 1-1/4"" LOC, 0.016"" Chamfer, HSPM1",end_mill,carbide,6.35,6.35,31.75,76.2,4,38.0,Multi-Layer TiAlN,"['Stainless Steel', 'High Temp Alloys', 'Steel']",True,20.95,Haas,15.88,18000,https://www.haascnc.com/content/dam/haascnc/ecommerce-assets/speeds-and-feeds/4-Flute_HSPM_Cutting%20Data_Style%202.pdf,/content/dam/haascnc/ecommerce/03-0056/hero.jpg/jcr:content/renditions/cq5dam.thumbnail.319.319.png,https://www.haascnc.com/haas-tooling/milling/end_mills/03-0056.html
